key,source,target
/02B80B5E4D40E733C9184FA6C476798B,右緩め,
/31B441954D12EAE4AF626F948421477B,左緩め,
/366241DF4A38945962E0489361455DD0,右急,
/17E094FB4DC4EA963D4BD59B097142DE,左急,
/C5109DF84DB83ECFC035B0A786EE5FFF,右S字,
/C4DAFA494DE3BFC311A96BB3297BABEF,左S字,
/9A8065FA45FAA5BCD9B9D0980C1EA98D,注意,
/50B080EB4DDF1C6059AA519D0F55E99F,右緩め_注意,
/99AB0EE44410507FD149748CEDDED4F9,左緩め_注意,
/B490EF884A020B0B019A90AAE0B5D2D7,右急_注意,
/8B8C189A47C1A97380FA5C97BBC54251,左急_注意,
/AE60FD3A426223C7166C51AFC6B85490,右S字_注意,
/922D36C7489361132725BEA077A8C30B,左S字_注意,
/654D791242D151A1689459AAAA00877D,逆走,
